Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
168,РБ Лейпциг,Леверкузен,Вред Осмерс,1.91,3.6,4.0,26,0,0,877,672,205,45,55,11,15,2,2,436,510,55,68,15,18,17,19,63,57,20,15,19,19,6,6,11,11,163,174,16,8,2,3,10,4,6,4,3-1-4-2,6.97,4-3-3,6.95,9.24,8.28,,,2.875,24.625,11.11111111111111,11.61111111111111,10.666666666666666,12.72222222222222
169,Кельн,Билефельд,Феликс Цвайер,2.2,3.2,3.4,32,2,0,826,1153,-327,44,56,15,17,2,1,369,461,82,77,18,24,16,17,59,61,20,25,13,11,3,5,8,14,174,163,14,9,6,3,9,6,5,3,3-3-1-3,6.73,4-2-3-1,6.77,9.0,5.69,,,3.75,23.0,14.11111111111111,13.22222222222222,14.5,12.22222222222222
170,Вольфсбург,Фрайбург,Тобиас Райхель,1.95,3.6,3.6,23,2,0,1201,1132,69,45,55,13,10,0,0,367,429,60,62,23,32,13,11,42,48,15,18,8,11,5,10,15,13,148,156,12,10,5,2,8,9,4,1,4-2-3-1,6.94,3-4-3,6.86,12.25,7.04,,,2.5,26.5,12.75,12.72222222222222,13.625,12.61111111111111
171,Герта,Бавария М.,Роберт Шредер,10.0,6.5,1.25,27,0,1,607,1903,-1296,38,62,12,15,2,1,343,533,46,43,9,31,16,22,47,48,8,12,14,10,3,11,17,10,121,147,10,14,7,6,8,9,2,5,4-2-3-1,6.78,4-1-4-1,7.08,13.18,6.89,,,3.6666666666666665,26.0,13.666666666666666,15.421052631578949,9.3,9.63157894736842
172,Майнц 05,Юнион Берлин,Саша Стегеманн,3.0,3.3,2.45,23,1,0,1075,1048,27,43,57,12,11,2,5,364,483,88,97,20,17,11,10,76,58,38,34,16,9,3,1,9,12,188,178,10,11,5,4,8,8,2,3,3-4-1-2,6.72,3-5-2,6.84,13.24,9.95,,,3.0,24.444444444444443,15.0,14.263157894736842,14.0,13.052631578947368
173,Леверкузен,Штутгарт,Свен Яблонски,1.8,4.0,4.2,21,2,0,1610,478,1132,56,44,12,9,0,0,482,379,84,58,17,7,24,18,57,50,10,10,25,19,4,4,14,6,143,152,24,13,11,7,20,11,4,2,4-3-3,6.94,3-4-2-1,6.9,8.19,14.42,,,3.5,27.25,14.77777777777778,12.842105263157896,12.8,12.052631578947368
174,Аугсбург,Вольфсбург,Роберт Хартманн,5.0,3.75,1.67,25,0,1,605,1297,-692,45,55,10,15,2,0,403,480,57,62,15,20,10,18,43,47,13,17,11,8,7,4,15,21,144,139,9,16,1,6,7,12,2,4,4-2-3-1,6.76,4-2-3-1,6.95,23.85,8.14,,,3.6666666666666665,27.666666666666668,11.7,11.842105263157896,12.7,12.736842105263158
175,Шальке 04,РБ Лейпциг,Мартин Петерсен,9.5,5.0,1.3,30,0,1,100,2390,-2290,36,64,14,16,2,1,332,560,48,43,5,24,11,17,40,69,10,29,10,12,1,7,14,14,141,150,3,26,1,10,2,19,1,7,4-2-3-1,6.65,3-1-4-2,6.97,15.47,4.89,,,5.0,21.6,12.4,13.052631578947368,12.11111111111111,11.578947368421051
176,Фрайбург,Дортмунд,Феликс Брых,5.0,4.5,1.5699999999999998,24,0,0,377,1889,-1512,32,68,12,12,1,2,321,694,55,46,6,14,12,15,35,41,7,11,10,9,1,1,15,11,129,138,6,16,3,6,2,9,4,7,4-2-2-2,6.85,4-1-4-1,7.04,27.0,7.28,,,2.4444444444444446,22.77777777777778,11.8,12.473684210526317,10.3,10.210526315789474
177,Мгладбах,Кельн,Кристиан Дингерт,1.6,4.0,5.5,29,1,1,1444,368,1076,64,36,18,11,4,2,698,389,25,72,33,7,14,8,39,51,14,14,7,16,4,1,6,13,146,129,10,7,2,3,6,4,4,3,4-2-3-1,6.89,3-1-4-2,6.74,7.13,32.43,,,4.666666666666667,23.0,10.9,11.947368421052632,12.333333333333334,13.31578947368421
