,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
163,Спартак,Краснодар,Виталий Мешков,2.2,3.5,3.1,19,2,0,1090,1071,19,38,62,13,6,2,1,302,480,79,45,14,9,13,21,48,51,10,12,26,16,4,3,10,15,163,179,22,17,13,5,16,12,6,5,3-5-2,7.01,4-2-3-1,7.0,7.76,11.3,,,7.0,27.77777777777778,14.4,14.35,10.375,10.789473684210526
164,Арсенал,Локомотив,Кирилл Левников,3.0,3.1,2.5,39,0,0,887,1090,-203,39,61,14,25,3,4,300,471,73,81,18,12,6,19,72,54,23,16,21,14,4,2,15,14,170,154,10,15,2,4,6,7,4,8,4-2-3-1,6.71,4-3-1-2,6.88,11.84,3.25,,,5.833333333333333,21.333333333333332,12.555555555555555,14.35,13.5,13.45
165,Рубин Казань,Зенит,Сергей Карасев,5.25,3.8,1.65,18,1,0,390,2156,-1766,31,69,10,8,1,1,237,522,51,46,12,31,34,16,65,68,21,23,18,28,3,7,12,12,141,142,11,20,4,7,6,13,5,7,4-1-4-1,6.87,4-1-3-2,7.07,13.71,2.89,,,5.833333333333333,26.25,11.222222222222221,11.35,9.444444444444445,9.4
166,Химки,Ростов,Сергей Лапочкин,2.75,3.0,2.75,24,0,0,826,1306,-480,48,52,14,10,3,1,433,436,93,104,16,30,14,13,61,56,28,17,17,22,4,7,8,14,214,231,12,10,3,0,7,4,5,6,3-5-2,6.83,4-3-3,6.84,7.71,11.06,,,6.5,27.333333333333332,13.0,13.047619047619047,14.0,12.8
167,Урал,Ротор,Михаил Вилков,2.0,3.2,4.0,19,0,0,1849,371,1478,60,40,10,9,0,0,554,374,62,80,36,16,14,10,56,54,27,20,11,16,4,7,30,16,184,181,18,5,7,0,9,3,9,2,4-2-3-1,6.87,3-4-2-1,6.75,4.88,11.57,,,5.571428571428571,25.714285714285715,12.1,12.857142857142858,14.88888888888889,15.105263157894736
168,Арсенал,ЦСКА,Владислав Безбородов,6.5,3.75,1.55,29,2,0,825,1130,-305,42,58,13,16,5,3,319,441,62,76,22,20,8,12,46,46,15,15,14,14,3,4,11,11,154,152,7,12,3,4,2,6,5,6,5-4-1,6.71,4-2-3-1,6.96,8.21,7.94,,,5.0,26.555555555555557,12.7,14.333333333333334,13.4,11.952380952380953
169,Зенит,Ахмат,Виталий Мешков,1.3,5.25,10.0,21,0,0,1364,860,504,58,42,12,9,2,3,546,395,73,77,16,9,8,8,40,40,13,13,17,10,3,3,10,12,126,134,15,14,8,9,11,4,4,10,4-3-1-2,7.06,5-4-1,6.81,13.93,45.14,,,6.6,26.9,9.363636363636363,9.333333333333334,17.2,16.238095238095237
170,Динамо,Спартак,Сергей Иванов,2.5,3.3,2.75,28,1,1,600,1375,-775,47,53,18,10,2,4,325,368,75,83,13,21,10,23,57,65,14,19,29,21,4,4,9,16,186,212,11,13,2,5,8,8,3,5,4-1-4-1,6.94,3-4-1-2,7.03,5.85,6.04,,,5.769230769230769,25.153846153846153,14.3,13.238095238095237,14.3,14.285714285714286
171,Уфа,Рубин Казань,Игорь Панин,3.5,3.0,2.25,33,0,2,885,1724,-839,47,53,16,17,3,1,374,412,56,84,18,30,12,11,55,54,15,17,18,16,1,9,8,17,138,158,12,13,5,9,6,6,6,7,5-3-2,6.72,4-1-4-1,6.88,10.44,8.62,,,7.333333333333333,29.333333333333332,15.444444444444445,15.19047619047619,11.454545454545455,11.285714285714286
172,Тамбов,Краснодар,Шадыханов Павел,21.0,9.0,1.1,24,0,1,235,2864,-2629,22,78,13,11,2,2,213,754,61,55,6,21,4,15,36,48,14,11,12,13,3,6,18,7,135,148,7,18,3,8,5,9,2,9,5-3-2,6.74,4-2-3-1,6.97,17.31,3.96,,,4.0,20,13.0,12.523809523809524,9.88888888888889,10.55
