Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Clearances,Team2_Clearances,Team1_Accurate_passes,Team2_Accurate_passes,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
203,Юнион Берлин,Кельн,Тобиас Стилер,2.05,3.1,4.2,19,0,0,1101,769,332,52,48,9,10,1,0,519,499,74,71,35,19,17,9,58,51,27,22,8,14,5,4,8,16,162,151,8,10,2,4,7,8,1,2,16,23,414,388,3-5-2,6.8,4-2-3-1,6.76,14.55,12.31,,
204,Штутгарт,Бавария,Кристиан Дингерт,7.0,5.0,1.44,18,1,2,566,1829,-1263,40,60,6,12,0,0,426,651,54,53,12,22,29,30,61,61,9,6,27,29,3,6,14,13,146,145,10,14,4,6,7,11,3,3,27,15,347,573,4-3-3,6.81,4-2-3-1,7.06,14.56,9.17,,
205,Леверкузен,Герта,Патрик Иттрих,1.5,4.2,7.0,25,4,1,1886,428,1458,62,38,11,14,1,2,657,399,69,44,12,12,21,15,59,47,18,15,18,16,9,2,13,7,130,138,16,7,9,2,10,3,6,4,18,18,570,307,3-4-2-1,6.81,3-5-2,6.73,12.71,17.68,,
206,Вольфсбург,Э. Франкфурт,Даниэль Шлагер,2.4,3.5,2.8,27,2,2,995,1141,-146,52,48,11,16,3,3,482,438,66,55,17,18,16,22,52,54,11,16,19,20,4,5,4,8,140,151,12,10,7,2,10,7,2,3,25,16,391,345,4-3-3,6.85,3-4-2-1,6.83,14.06,13.73,,
207,Кельн,Бохум,Тобиас Вельц,1.7,3.75,5.0,23,0,2,1855,400,1455,63,37,9,14,2,2,483,298,58,78,46,13,14,22,63,60,26,26,16,13,10,1,11,14,192,155,11,9,5,3,8,4,3,5,14,54,369,190,4-2-3-1,6.77,4-3-3,6.71,6.15,13.89,,
208,Бавария,Аугсбург,Флориан Бадстабнер,1.09,11.0,23.0,18,5,3,2215,773,1442,66,34,8,10,2,1,581,296,40,50,16,11,37,11,58,42,14,7,15,21,8,5,6,8,132,130,23,13,8,6,16,10,7,3,12,27,507,213,3-4-2-1,7.06,4-2-3-1,6.74,7.75,13.62,,
209,Э. Франкфурт,Штутгарт,Роберт Хартманн,2.1,3.5,3.4,27,1,1,1139,760,379,52,48,16,11,4,1,484,468,51,60,30,13,24,28,56,72,17,18,18,19,3,2,11,16,171,158,10,10,1,4,6,7,4,3,12,31,379,363,3-4-2-1,6.83,4-3-3,6.81,8.97,10.73,,
210,Герта,Майнц 05,Бенджамин Кортус,3.0,3.5,2.3,25,1,1,1167,1159,8,40,60,10,15,2,1,271,411,69,78,20,23,13,6,58,77,32,49,10,15,7,8,4,13,196,191,11,6,4,3,8,4,3,2,26,35,146,284,3-1-4-2,6.72,3-4-2-1,6.82,13.65,4.32,,
211,РБ Лейпциг,Боруссия Мгладбах,Матиас Йолленбек,1.36,5.25,7.0,18,3,0,2064,355,1709,66,34,9,9,1,0,693,354,35,54,20,6,20,17,44,34,5,4,17,13,11,0,12,5,132,123,14,7,9,3,11,6,3,1,6,17,606,269,4-2-2-2,6.89,4-2-3-1,6.87,8.75,24.19,,
212,Шальке 04,Дортмунд,Марко Фриц,4.2,3.75,1.8,24,2,2,535,1476,-941,34,66,16,8,1,1,275,552,58,59,20,13,19,38,46,76,11,14,22,20,3,6,10,3,138,139,10,20,4,8,5,14,5,6,19,13,190,465,4-2-3-1,6.71,4-3-3,6.95,10.16,8.61,,
